Date,Cash,Holdings Value,Portfolio Value
2025-12-31,100000,0,100000
2026-01-01,100000,0,100000
2026-01-02,100000,0,100000
2026-01-05,100000,0,100000
2026-01-06,100000,0,100000
2026-01-07,100000,0,100000
2026-01-08,100000,0,100000
2026-01-09,100000,0,100000
2026-01-12,100000,0,100000
2026-01-13,100000,0,100000
2026-01-14,100000,0,100000
2026-01-15,100000,0,100000
2026-01-16,100000,0,100000
2026-01-19,100000,0,100000
2026-01-20,100000,0,100000
2026-01-21,100000,0,100000
2026-01-22,100000,0,100000
2026-01-23,100000,0,100000
2026-01-27,100000,0,100000
2026-01-28,100000,0,100000
2026-01-29,100000,0,100000
2026-01-30,100000,0,100000
2026-02-02,100000,0,100000
2026-02-03,100000,0,100000
2026-02-04,100000,0,100000
2026-02-05,100000,0,100000
2026-02-06,100000,0,100000
2026-02-09,100000,0,100000
2026-02-10,100000,0,100000
2026-02-11,100000,0,100000
2026-02-12,100000,0,100000
2026-02-13,100000,0,100000
2026-02-16,100000,0,100000
2026-02-17,100000,0,100000
2026-02-18,100000,0,100000
2026-02-19,100000,0,100000
2026-02-20,100000,0,100000
2026-02-23,100000,0,100000
2026-02-24,100000,0,100000
2026-02-25,100000,0,100000
2026-02-26,100000,0,100000
2026-02-27,100000,0,100000
2026-03-02,100000,0,100000
2026-03-04,100000,0,100000
2026-03-05,100000,0,100000
2026-03-06,100000,0,100000
2026-03-09,100000,0,100000
2026-03-10,100000,0,100000
2026-03-11,100000,0,100000
2026-03-12,100000,0,100000
2026-03-13,100000,0,100000
2026-03-16,100000,0,100000
2026-03-17,100000,0,100000
2026-03-18,100000,0,100000
2026-03-19,100000,0,100000
2026-03-20,100000,0,100000
2026-03-23,100000,0,100000
2026-03-24,100000,0,100000
2026-03-25,100000,0,100000
2026-03-27,100000,0,100000
2026-03-30,100000,0,100000
2026-04-01,100000,0,100000
2026-04-02,100000,0,100000
2026-04-06,100000,0,100000
2026-04-07,100000,0,100000
2026-04-08,100000,0,100000
2026-04-09,100000,0,100000
2026-04-10,100000,0,100000
2026-04-13,100000,0,100000
2026-04-15,100000,0,100000
2026-04-16,100000,0,100000
2026-04-17,100000,0,100000
2026-04-20,100000,0,100000
2026-04-21,100000,0,100000
2026-04-22,100000,0,100000
2026-04-23,100000,0,100000
2026-04-24,100000,0,100000
2026-04-27,100000,0,100000
2026-04-28,100000,0,100000
2026-04-29,100000,0,100000
2026-04-30,100000,0,100000
2026-05-01,100000,0,100000
2026-05-04,80809.80078125,19190.19921875,100000.0
2026-05-05,80809.80078125,19158.626953125,99968.427734375
2026-05-06,80809.80078125,19222.55859375,100032.359375
2026-05-07,80809.80078125,18954.197265625,99763.998046875
2026-05-08,99708.748046875,0.0,99708.748046875
2026-05-11,99708.748046875,0.0,99708.748046875
2026-05-12,99708.748046875,0.0,99708.748046875
2026-05-13,99708.748046875,0.0,99708.748046875
2026-05-14,99708.748046875,0.0,99708.748046875
2026-05-15,99708.748046875,0.0,99708.748046875
2026-05-18,99708.748046875,0.0,99708.748046875
2026-05-19,99708.748046875,0.0,99708.748046875
2026-05-20,99708.748046875,0.0,99708.748046875
2026-05-21,99708.748046875,0.0,99708.748046875
2026-05-22,99708.748046875,0.0,99708.748046875
2026-05-25,99708.748046875,0.0,99708.748046875
2026-05-26,99708.748046875,0.0,99708.748046875
2026-05-27,99708.748046875,0.0,99708.748046875
2026-05-28,99708.748046875,0.0,99708.748046875
2026-05-29,99708.748046875,0.0,99708.748046875
2026-06-01,99708.748046875,0.0,99708.748046875
2026-06-02,99708.748046875,0.0,99708.748046875
2026-06-03,99708.748046875,0.0,99708.748046875
2026-06-04,99708.748046875,0.0,99708.748046875
2026-06-05,99708.748046875,0.0,99708.748046875
2026-06-08,99708.748046875,0.0,99708.748046875
2026-06-09,99708.748046875,0.0,99708.748046875
2026-06-10,99708.748046875,0.0,99708.748046875
2026-06-11,99708.748046875,0.0,99708.748046875
2026-06-12,99708.748046875,0.0,99708.748046875
2026-06-15,99708.748046875,0.0,99708.748046875
2026-06-16,99708.748046875,0.0,99708.748046875
2026-06-17,99708.748046875,0.0,99708.748046875
2026-06-18,99708.748046875,0.0,99708.748046875
2026-06-19,99708.748046875,0.0,99708.748046875
2026-06-22,99708.748046875,0.0,99708.748046875
2026-06-23,99708.748046875,0.0,99708.748046875
2026-06-24,99708.748046875,0.0,99708.748046875
2026-06-25,99708.748046875,0.0,99708.748046875
2026-06-26,99708.748046875,0.0,99708.748046875
2026-06-29,99708.748046875,0.0,99708.748046875
2026-06-30,99708.748046875,0.0,99708.748046875
